Start Date,End Date,VIN,Repair Description,Repair Cost,Repair Status,Vendor Name,Vendor Phone,Vendor Street Address,Vendor City,Vendor State,Vendor ZIP,Recall NTHSA,Recall Description,Manufacturer,
1/2/2019,1/3/2019,VROU7UEWYWK097688,adjust block heater; replace brake pedal spring; ,58.17,completed,Rundofase,6976505267,175 12-street,Seattle,WA,8511,,,,1
1/6/2019,1/6/2019,VROU7UEWYWK097688,repair direct injection system; fix cylinder head bolts; ,29.08,pending,Rundofase,6976505267,175 12-street,Seattle,WA,8511,,,,2
1/6/2019,1/8/2019,H7PM7E5LCY5894305,change memory settings of the onboard computer; reduce fuel consumption; ,25.78,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,19V035000, Volkswagen Group of America  Inc. (Audi) is recalling certain 2016-2018 Q7  A6 and A7 vehicles ,Audi,3
1/8/2019,2/2/2019,SGEAZM7OHRE981138,replace water pump; change steering rack; ,163.11,in progress,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,,4
1/8/2019,1/8/2019,VROU7UEWYWK097688,adjust adaptive cruise control; add knee airbags; ,29.08,completed,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,,5
1/9/2019,1/18/2019,L2G40AKW0DV261314,reduce carbon footprint; adjust retractable mirrors; ,235.7,in progress,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,,6
1/9/2019,1/10/2019,VROU7UEWYWK097688,change suspension fluid; replace catalytic converter; ,58.17,completed,Newex,3321611463,6781 14-street,Durham,WI,50395,14V624000, General Motors LLC (GM) is recalling certain model year 2015 Cadillac Escalade and Escalade ESV,Cadillac,7
1/10/2019,1/17/2019,ZIYO5EKWDKS246902,repair seatbelt force limiters; replace tail lights; ,547.42,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,8
1/13/2019,1/13/2019,VROU7UEWYWK097688,adjust accelerator pedal linkage; ,29.08,in progress,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,,9
1/14/2019,1/15/2019,EAJW0OF78HV386515,adjust turn signals; change memory settings of the onboard computer; ,32.57,completed,Rundofase,6976505267,175 12-street,Seattle,WA,8511,,,,10
